time,acceleration
545.14,0
545.145,-1.11508055576552e-05
545.15,-4.37368202399382e-05
545.155,-9.56147462966497e-05
545.16,-0.000164210497841599
545.165,-0.000247010307398548
545.17,-0.000341514532219576
545.175,-0.000445233940592099
545.18,-0.000555910968202727
545.185,-0.000671594742340103
545.19,-0.000790612261958551
545.195,-0.000911440238414296
545.2,-0.00103274871652841
545.205,-0.00115360588729628
545.21,-0.00127334888521491
545.215,-0.00139134659166356
545.22,-0.00150711107388891
545.225,-0.00162052125420753
545.23,-0.00173156935876228
545.235,-0.00183999784644614
545.24,-0.00194541987633289
545.245,-0.00204754501221742
545.25,-0.0021461532221129
545.255,-0.00224091274588067
545.26,-0.00233171077801145
545.265,-0.00241911795174693
545.27,-0.00250394345149698
545.275,-0.00258679060990086
545.28,-0.00266839388743069
545.285,-0.00274984301333637
545.29,-0.00283234294254401
545.295,-0.00291714634882933
545.3,-0.00300567102652771
545.305,-0.00309942311725404
545.31,-0.00319983639499185
545.315,-0.00330816699661999
545.32,-0.00342545859456972
545.325,-0.00355265463458557
545.33,-0.00369086602083466
545.335,-0.00384145200172406
545.34,-0.00400544144786411
545.345,-0.00418292511498229
545.35,-0.00437347172918709
545.355,-0.00457686877461019
545.36,-0.004793097738856
545.365,-0.00502201207977586
545.37,-0.00526343879730442
545.375,-0.00551733444858861
545.38,-0.00578354664318181
545.385,-0.00606172731163423
545.39,-0.00635155858325786
545.395,-0.00665284383818523
545.4,-0.00696537332660575
545.405,-0.00728864733312733
545.41,-0.00762177024401521
545.415,-0.00796339701828072
545.42,-0.00831179769181663
545.425,-0.00866488819418877
545.43,-0.00901988218912974
545.435,-0.00937354515258182
545.44,-0.0097228597814692
545.445,-0.0100653574055697
545.45,-0.0103991644811108
545.455,-0.0107222833030817
545.46,-0.0110321226973167
545.465,-0.0113261236284821
545.47,-0.0116019208678599
545.475,-0.0118569867853021
545.48,-0.012088683895839
545.485,-0.0122944105979871
545.49,-0.0124717071098822
545.495,-0.0126182104761636
545.5,-0.0127315479938571
545.505,-0.0128094600317814
545.51,-0.0128499793836542
545.515,-0.012851414751699
545.52,-0.0128122070447355
545.525,-0.0127307313525212
545.53,-0.0126050846471255
545.535,-0.0124333689851335
545.54,-0.0122141263843022
545.545,-0.0119461947099195
545.55,-0.0116286771782712
545.555,-0.0112611425987732
545.56,-0.0108434440611774
545.565,-0.0103756415656375
545.57,-0.00985800747029174
545.575,-0.00929079588798574
545.58,-0.00867432622478979
545.585,-0.00800922913849047
545.59,-0.00729637562709523
545.595,-0.00653679322004051
545.6,-0.00573190702882704
545.605,-0.00488379177579447
545.61,-0.00399509541909942
545.615,-0.00306889303622501
545.62,-0.00210861168461597
545.625,-0.00111783915519344
545.63,-0.000100062990044825
545.635,0.000941111287354756
545.64,0.00200153168195392
545.645,0.00307686179309804
545.65,0.00416270232112962
545.655,0.00525406049086781
545.66,0.00634566615762916
545.665,0.00743228773158328
545.67,0.00850823365042117
545.675,0.00956716114227742
545.68,0.0106024743262403
545.685,0.0116079265844903
545.69,0.0125776918913363
545.695,0.0135058522615416
545.7,0.0143864819694979
545.705,0.0152141371352314
545.71,0.0159835350181907
545.715,0.0166890500348865
545.72,0.017325031182245
545.725,0.017886283380412
545.73,0.0183680228176149
545.735,0.0187657574294096
545.74,0.0190754649814338
545.745,0.0192937026812383
545.75,0.0194177018008912
545.755,0.0194453764474342
545.76,0.0193751599070242
545.765,0.01920618755224
545.77,0.0189384936632754
545.775,0.018572867947177
545.78,0.0181107754763169
545.785,0.0175541607063567
545.79,0.0169050552996352
545.795,0.0161657425101679
545.8,0.0153393442616794
545.805,0.0144301216114242
545.81,0.0134434147131349
545.815,0.012385179411404
545.82,0.0112615349985699
545.825,0.0100787360631611
545.83,0.00884315396905675
545.835,0.00756133837750219
545.84,0.00624046654144122
545.845,0.00488832179289761
545.85,0.00351262013551097
545.855,0.0021207576096036
545.86,0.000719952887615004
545.865,-0.000682698169920497
545.87,-0.00208006526236732
545.875,-0.00346488406883265
545.88,-0.00483016875245237
545.885,-0.0061694225883626
545.89,-0.00747615163040565
545.895,-0.00874366685991896
545.9,-0.00996532109247405
545.905,-0.011134665232525
545.91,-0.0122455973417554
545.915,-0.0132925367113021
545.92,-0.0142704755730288
545.925,-0.0151748650247746
545.93,-0.0160013212029482
545.935,-0.0167455004752903
545.94,-0.0174035492387009
545.945,-0.0179723242639047
545.95,-0.018449046537617
545.955,-0.0188312335206478
545.96,-0.0191169947970012
545.965,-0.0193051931986711
545.97,-0.0193952437353156
545.975,-0.0193868996375073
545.98,-0.0192803739170193
545.985,-0.0190764431579611
545.99,-0.0187762074216074
545.995,-0.0183810912455826
546,-0.0178932363912495
546.005,-0.0173152108527928
546.01,-0.0166494567964113
546.015,-0.0158988341653583
546.02,-0.0150673947086558
546.025,-0.0141601397651059
546.03,-0.0131824206409267
546.035,-0.0121399917405705
546.04,-0.011039322885266
546.045,-0.00988723063455775
546.05,-0.00869045593706872
546.055,-0.00745608190577326
546.06,-0.00619189660666355
546.065,-0.00490620788250798
546.07,-0.00360764923992781
546.075,-0.00230494948377358
546.08,-0.00100673373556887
546.085,0.00027852365768272
546.09,0.00154245166895951
546.095,0.00277667375767954
546.1,0.00397298773931867
546.105,0.00512386555982759
546.11,0.00622259939170441
546.115,0.00726282228276593
546.12,0.00823818114255364
546.125,0.00914254594870645
546.13,0.00997045946972648
546.135,0.0107174426137454
546.14,0.0113796409026836
546.145,0.0119534000458408
546.15,0.0124354798670722
546.155,0.0128233349627595
546.16,0.0131151704643986
546.165,0.0133097944702875
546.17,0.0134064705914294
546.175,0.0134051339948363
546.18,0.0133066788843934
546.185,0.0131129595792304
546.19,0.0128264776640875
546.195,0.0124500860324628
546.2,0.0119869731175833
546.205,0.0114409880876039
546.21,0.0108169961723564
546.215,0.0101205965124208
546.22,0.0093577316451912
546.225,0.00853474817539791
546.23,0.00765827218863665
546.235,0.00673492200507399
546.24,0.00577140282287057
546.245,0.00477469120473719
546.25,0.00375184517594467
546.255,0.0027098148494054
546.26,0.00165559177513968
546.265,0.000596409037003092
546.27,-0.000460346372413759
546.275,-0.00150739391199623
546.28,-0.00253769789924031
546.285,-0.00354462143851812
546.29,-0.00452215853577639
546.295,-0.00546504015236088
546.3,-0.00636837734743491
546.305,-0.00722705851908417
546.31,-0.00803572010315857
546.315,-0.0087892012360414
546.32,-0.00948290406321829
546.325,-0.010112837260643
546.33,-0.0106751296349937
546.335,-0.0111656612085685
546.34,-0.0115806174326596
546.345,-0.0119170324511008
546.35,-0.0121727134481515
546.355,-0.0123461938236597
546.36,-0.0124366266546398
546.365,-0.0124435951779439
546.37,-0.0123671148193322
546.375,-0.0122074416782631
546.38,-0.0119649230514559
546.385,-0.0116405530095481
546.39,-0.0112364896787492
546.395,-0.0107558200688565
546.4,-0.0102021854486796
546.405,-0.00957960931875658
546.41,-0.00889248638837646
546.415,-0.00814569168437145
546.42,-0.00734461318668804
546.425,-0.00649502167445663
546.43,-0.00560285101692546
546.435,-0.00467407543044451
546.44,-0.00371479412350711
546.445,-0.0027314463387553
546.45,-0.00173103087010203
546.455,-0.000721089136179475
546.46,0.000290859771706377
546.465,0.00129764785234761
546.47,0.00229204518227094
546.475,0.00326661192905019
546.48,0.00421389617726621
546.485,0.00512659708407625
546.49,0.00599773673778557
546.495,0.00682062977687777
546.5,0.00758876467141276
546.505,0.00829583931933801
546.51,0.00893600846132973
546.515,0.0095040075836518
546.52,0.00999500263436573
546.525,0.0104045212941313
546.53,0.0107287316190128
546.535,0.0109649388835639
546.54,0.01111166762909
546.545,0.0111683256901768
546.55,0.0111348413105567
546.555,0.0110117495561993
546.56,0.0108007931289119
546.565,0.0105049528069672
546.57,0.0101278213225596
546.575,0.00967333522743373
546.58,0.00914609647788713
546.585,0.0085515278978238
546.59,0.00789534729434312
546.595,0.00718317397578369
546.6,0.0064206695367998
546.605,0.00561370193841564
546.61,0.00476847240257602
546.615,0.00389125917759204
546.62,0.00298818138616145
546.625,0.00206556284201581
546.63,0.00113009304083795
546.635,0.000188669320327251
546.64,-0.000751987696614969
546.645,-0.00168576708926574
546.65,-0.00260685122386349
546.655,-0.00350913009228513
546.66,-0.00438628404251781
546.665,-0.00523223090308365
546.67,-0.00604113525238161
546.675,-0.00680694320600396
546.68,-0.00752327177283202
546.685,-0.00818390045136014
546.69,-0.00878294604629679
546.695,-0.00931477220647475
546.7,-0.00977440459721895
546.705,-0.0101577811795726
546.71,-0.010461399559493
546.715,-0.0106822237747591
546.72,-0.0108179744336497
546.725,-0.0108670470982438
546.73,-0.0108282867993486
546.735,-0.0107009127968669
546.74,-0.0104844177513492
546.745,-0.0101787327715096
546.75,-0.00978445757743871
546.755,-0.00930289314838686
546.76,-0.00873578322953216
546.765,-0.0080849134132465
546.77,-0.00735238043002057
546.775,-0.00654132109321651
546.78,-0.00565607636216992
546.785,-0.00470160435274943
546.79,-0.00368301002756063
546.795,-0.00260598267139978
546.8,-0.00147718520484887
546.805,-0.000303667013690978
546.81,0.000907598727320917
546.815,0.00214943824238006
546.82,0.00341434275785314
546.825,0.00469461557151915
546.83,0.00598226527323576
546.835,0.00726895536479248
546.84,0.00854619942458775
546.845,0.00980533182714714
546.85,0.0110374939239456
546.855,0.0122339238271226
546.86,0.0133859672905755
546.865,0.0144848269280669
546.87,0.0155219261173856
546.875,0.0164894866659609
546.88,0.0173803834441129
546.885,0.0181880196412321
546.89,0.0189063975714553
546.895,0.0195297095978834
546.9,0.0200523868204465
546.905,0.0204698305603878
546.91,0.020778525080673
546.915,0.0209756335766312
546.92,0.0210589564907078
546.925,0.0210271069982184
546.93,0.0208796672922521
546.935,0.0206170962218249
546.94,0.0202401396678217
546.945,0.0197497446168834
546.95,0.019147688474443
546.955,0.0184367786310418
546.96,0.0176206142177918
546.965,0.0167033784093489
546.97,0.0156897134856643
546.975,0.0145847469587819
546.98,0.0133941161385905
546.985,0.0121239665802017
546.99,0.0107811188613407
546.995,0.00937300828239175
547,0.00790719215478475
547.005,0.00639091941916886
547.01,0.00483141734488635
547.015,0.003236388753024
547.02,0.00161385610700252
547.025,-2.77992613264488e-05
547.03,-0.00168000871150894
547.035,-0.00333449990649758
547.04,-0.00498273207905448
547.045,-0.00661581896122886
547.05,-0.00822529529381594
547.055,-0.00980303246620258
547.06,-0.0113408611180213
547.065,-0.0128304998127941
547.07,-0.0142635930699719
547.075,-0.0156320503476763
547.08,-0.0169283703193527
547.085,-0.0181453421758056
547.09,-0.0192757808610262
547.095,-0.0203129547280118
547.1,-0.0212508104881916
547.105,-0.0220838253402382
547.11,-0.022807162170933
547.115,-0.0234166404355253
547.12,-0.0239082857572062
547.125,-0.0242783870999556
