pyr,videotime
0,545.3
-0.003464986,545.333333333333
-0.009707636,545.366666666667
-0.01338097,545.4
-0.010454,545.433333333333
-0.01104844,545.466666666667
-0.01634093,545.5
-0.01308444,545.533333333333
-0.004735819,545.566666666667
0.005117453,545.6
0.02223821,545.633333333333
0.03575915,545.666666666667
0.03776819,545.7
0.02663167,545.733333333333
0.009146907,545.766666666667
-0.00499039,545.8
-0.01715103,545.833333333333
-0.01678693,545.866666666667
-0.01066745,545.9
-0.002955928,545.933333333333
-0.002021285,545.966666666667
-0.01113698,546
-0.008103123,546.033333333333
0.004623129,546.066666666667
0.009385433,546.1
0.004543447,546.133333333333
0.004601926,546.166666666667
0.005270838,546.2
0.003297561,546.233333333333
-0.005008776,546.266666666667
-0.01410323,546.3
-0.01009159,546.333333333333
-0.004596971,546.366666666667
-0.005389502,546.4
-0.004258831,546.433333333333
0.01261884,546.466666666667
0.0256652,546.5
0.02885648,546.533333333333
0.02210515,546.566666666667
0.0002765101,546.6
-0.019683,546.633333333333
-0.02732519,546.666666666667
-0.0260414,546.7
-0.01849261,546.733333333333
-0.005969103,546.766666666667
-0.0009473297,546.8
0.00807748,546.833333333333
0.02488171,546.866666666667
0.03081716,546.9
0.02460998,546.933333333333
0.009948594,546.966666666667
-0.003064532,547
-0.009541052,547.033333333333
-0.01517585,547.066666666667
-0.02494865,547.1
-0.03086808,547.133333333333
-0.02681252,547.166666666667
-0.01422281,547.2
-0.001252239,547.233333333333
0.01296483,547.266666666667
0.02339966,547.3
0.01535722,547.333333333333
0.01364973,547.366666666667
0.01676048,547.4
0.003450677,547.433333333333
-0.009698469,547.466666666667
-0.01209103,547.5
-0.01069988,547.533333333333
-0.002595331,547.566666666667
0.004937644,547.6
0.01286358,547.633333333333
0.01649686,547.666666666667
0.008315816,547.7
0.00152599,547.733333333333
-0.006852802,547.766666666667
-0.02065132,547.8
-0.01851183,547.833333333333
-0.00610459,547.866666666667
-0.007015196,547.9
-0.004591131,547.933333333333
0.00461177,547.966666666667
0.01278262,548
0.01853096,548.033333333333
0.01721924,548.066666666667
0.006394149,548.1
-0.007371151,548.133333333333
-0.01552714,548.166666666667
-0.01772028,548.2
-0.01574222,548.233333333333
-0.01023359,548.266666666667
-0.0005386962,548.3
0.01332423,548.333333333333
0.02642915,548.366666666667
0.0241323,548.4
0.01144628,548.433333333333
0.00433248,548.466666666667
-0.002451584,548.5
-0.009076676,548.533333333333
-0.01499852,548.566666666667
-0.01502734,548.6
-0.004665688,548.633333333333
0.003636393,548.666666666667
0.01149914,548.7
0.01921614,548.733333333333
0.01741909,548.766666666667
0.00243914,548.8
-0.01216309,548.833333333333
-0.01734756,548.866666666667
-0.01833222,548.9
-0.01379781,548.933333333333
-0.005368259,548.966666666667
0.003991103,549
0.01123754,549.033333333333
0.01372964,549.066666666667
0.01738029,549.1
0.01210918,549.133333333333
-0.003628349,549.166666666667
-0.01983473,549.2
-0.02503766,549.233333333333
-0.01168251,549.266666666667
0.0009077428,549.3
0.006025006,549.333333333333
0.004853487,549.366666666667
0.007711309,549.4
0.01300151,549.433333333333
0.01451547,549.466666666667
0.01515166,549.5
0.007454312,549.533333333333
-0.006158581,549.566666666667
-0.01812777,549.6
-0.02456727,549.633333333333
-0.02222379,549.666666666667
-0.0206548,549.7
-0.01175549,549.733333333333
0.009943151,549.766666666667
0.02746294,549.8
0.04029805,549.833333333333
0.0412153,549.866666666667
0.03016853,549.9
0.01418348,549.933333333333
-0.01072135,549.966666666667
-0.0407356,550
-0.06133829,550.033333333333
-0.06788035,550.066666666667
-0.06301842,550.1
-0.03542028,550.133333333333
0.002616679,550.166666666667
0.03084563,550.2
0.05621154,550.233333333333
0.0700377,550.266666666667
0.06098686,550.3
0.04023772,550.333333333333
0.01383455,550.366666666667
-0.01315403,550.4
-0.03809851,550.433333333333
-0.0529926,550.466666666667
-0.04341869,550.5
-0.01595964,550.533333333333
0.01542458,550.566666666667
0.04344675,550.6
