pyr,videotime
0,545.25
-0.005541066,545.283333333333
-0.01715391,545.316666666667
-0.02574275,545.35
-0.01379706,545.383333333333
-0.001045878,545.416666666667
-0.002141624,545.45
-0.0002358181,545.483333333333
-0.001046599,545.516666666667
-0.003857935,545.55
0.008362555,545.583333333333
0.02712419,545.616666666667
0.04070821,545.65
0.03743905,545.683333333333
0.01279002,545.716666666667
-0.006217917,545.75
-0.02577749,545.783333333333
-0.03062722,545.816666666667
-0.01695448,545.85
-0.002284188,545.883333333333
0.003555472,545.916666666667
-0.002621237,545.95
0.006183039,545.983333333333
0.02173962,546.016666666667
0.02074986,546.05
0.01187791,546.083333333333
0.008992122,546.116666666667
0.0009938058,546.15
-0.01161652,546.183333333333
-0.02169566,546.216666666667
-0.03015879,546.25
-0.03080787,546.283333333333
-0.02427147,546.316666666667
-0.01114325,546.35
0.01059416,546.383333333333
0.03643582,546.416666666667
0.05497959,546.45
0.06081715,546.483333333333
0.0520365,546.516666666667
0.01762078,546.55
-0.02945411,546.583333333333
-0.0572151,546.616666666667
-0.06543294,546.65
-0.0642898,546.683333333333
-0.04044796,546.716666666667
-0.009512153,546.75
0.01714343,546.783333333333
0.04426273,546.816666666667
0.06068387,546.85
0.06392714,546.883333333333
0.04896172,546.916666666667
0.02586329,546.95
-0.005087446,546.983333333333
-0.03858806,547.016666666667
-0.06441096,547.05
-0.07293569,547.083333333333
-0.05956935,547.116666666667
-0.0269269,547.15
0.009107855,547.183333333333
0.04066932,547.216666666667
0.06067406,547.25
0.04614045,547.283333333333
0.0247865,547.316666666667
0.004348742,547.35
-0.0232507,547.383333333333
-0.04079495,547.416666666667
-0.04497832,547.45
-0.02924097,547.483333333333
0.001101085,547.516666666667
0.02618966,547.55
0.03977802,547.583333333333
0.0372806,547.616666666667
0.02498427,547.65
0.008590141,547.683333333333
-0.01308985,547.716666666667
-0.03401596,547.75
-0.03208651,547.783333333333
-0.02325524,547.816666666667
-0.02184212,547.85
-0.005725013,547.883333333333
0.01478647,547.916666666667
0.03330571,547.95
0.0421072,547.983333333333
0.03101151,548.016666666667
0.001165439,548.05
-0.02149854,548.083333333333
-0.0340827,548.116666666667
-0.03730634,548.15
-0.02004384,548.183333333333
-0.005507773,548.216666666667
0.01075781,548.25
0.02908925,548.283333333333
0.03603861,548.316666666667
0.02640079,548.35
0.01259726,548.383333333333
0.005937032,548.416666666667
-0.005706842,548.45
-0.01612467,548.483333333333
-0.01946747,548.516666666667
-0.01061575,548.55
0.003827196,548.583333333333
0.01437945,548.616666666667
0.01664576,548.65
0.01584881,548.683333333333
0.008411915,548.716666666667
-0.02036652,548.75
-0.04475989,548.783333333333
-0.04670003,548.816666666667
-0.03481486,548.85
-0.01619769,548.883333333333
0.009564974,548.916666666667
0.03392161,548.95
0.0428663,548.983333333333
0.03997437,549.016666666667
0.03176782,549.05
0.006713504,549.083333333333
-0.02084266,549.116666666667
-0.03488313,549.15
-0.04080715,549.183333333333
-0.02839507,549.216666666667
-0.009301213,549.25
0.007735312,549.283333333333
0.02315239,549.316666666667
0.03362088,549.35
0.03874004,549.383333333333
0.02864972,549.416666666667
0.01376097,549.45
0.0003161875,549.483333333333
-0.01686141,549.516666666667
