pyr,videotime
0,545.25
-0.003992094,545.283333333333
-0.01180923,545.316666666667
-0.01550539,545.35
-0.01075734,545.383333333333
-0.01118725,545.416666666667
-0.01838118,545.45
-0.01744843,545.483333333333
-0.0100027,545.516666666667
0.001224403,545.55
0.02142669,545.583333333333
0.03736281,545.616666666667
0.04095232,545.65
0.02982205,545.683333333333
0.01072521,545.716666666667
-0.004207072,545.75
-0.0173767,545.783333333333
-0.01851646,545.816666666667
-0.01419695,545.85
-0.008428525,545.883333333333
-0.007074112,545.916666666667
-0.01284484,545.95
-0.00649706,545.983333333333
0.01013205,546.016666666667
0.01768585,546.05
0.01219801,546.083333333333
0.01015642,546.116666666667
0.006344071,546.15
-8.640197e-05,546.183333333333
-0.0104566,546.216666666667
-0.01993026,546.25
-0.01282078,546.283333333333
-0.001446798,546.316666666667
0.00237521,546.35
0.005344619,546.383333333333
0.02109057,546.416666666667
0.03057286,546.45
0.0288185,546.483333333333
0.01734875,546.516666666667
-0.006867613,546.55
-0.02622594,546.583333333333
-0.03119864,546.616666666667
-0.02688324,546.65
-0.01650212,546.683333333333
-0.002915609,546.716666666667
0.002707154,546.75
0.01179597,546.783333333333
0.02724249,546.816666666667
0.03166569,546.85
0.02392992,546.883333333333
0.00772467,546.916666666667
-0.007013068,546.95
-0.01435686,546.983333333333
-0.01962485,547.016666666667
-0.02715813,547.05
-0.03037376,547.083333333333
-0.02560991,547.116666666667
-0.01342331,547.15
-0.0001114155,547.183333333333
0.01513437,547.216666666667
0.0265197,547.25
0.01688689,547.283333333333
0.01206156,547.316666666667
0.01484186,547.35
0.003823024,547.383333333333
-0.00700505,547.416666666667
-0.00833215,547.45
-0.007363597,547.483333333333
-0.0001765403,547.516666666667
0.006055663,547.55
0.01089749,547.583333333333
0.01227703,547.616666666667
0.004196959,547.65
-0.001373139,547.683333333333
-0.008626984,547.716666666667
-0.02210467,547.75
-0.01904494,547.783333333333
-0.004897133,547.816666666667
-0.004624016,547.85
-0.002201983,547.883333333333
0.005232745,547.916666666667
0.0122326,547.95
0.01888907,547.983333333333
0.01823276,548.016666666667
0.006918611,548.05
-0.007328669,548.083333333333
-0.01559223,548.116666666667
-0.01880706,548.15
-0.01843452,548.183333333333
-0.01348831,548.216666666667
-0.00243141,548.25
0.01273334,548.283333333333
0.02580913,548.316666666667
0.02314857,548.35
0.01028536,548.383333333333
0.003723894,548.416666666667
-0.001220982,548.45
-0.004267222,548.483333333333
-0.006904028,548.516666666667
-0.006591339,548.55
0.001385283,548.583333333333
0.005724578,548.616666666667
0.009896779,548.65
0.01525195,548.683333333333
0.01147805,548.716666666667
-0.005164382,548.75
-0.02096806,548.783333333333
-0.02447895,548.816666666667
-0.02084315,548.85
-0.0125854,548.883333333333
-0.0006390868,548.916666666667
0.01086288,548.95
0.01659049,548.983333333333
0.01551208,549.016666666667
0.01617375,549.05
0.009871065,549.083333333333
-0.006767427,549.116666666667
-0.02303264,549.15
-0.02652049,549.183333333333
-0.01140625,549.216666666667
0.002909343,549.25
0.009228207,549.283333333333
0.008294723,549.316666666667
0.01136467,549.35
0.01656778,549.383333333333
0.01585761,549.416666666667
0.01309954,549.45
0.002396051,549.483333333333
-0.01301476,549.516666666667
-0.02535488,549.55
-0.0298911,549.583333333333
-0.02385562,549.616666666667
-0.01782949,549.65
-0.003290651,549.683333333333
0.02014664,549.716666666667
0.03336388,549.75
0.04178488,549.783333333333
0.04072607,549.816666666667
0.02910727,549.85
0.0133753,549.883333333333
-0.0121492,549.916666666667
-0.04375032,549.95
-0.06470311,549.983333333333
-0.07159799,550.016666666667
-0.06673656,550.05
-0.03695193,550.083333333333
0.004025925,550.116666666667
0.03400556,550.15
0.05845189,550.183333333333
0.06940217,550.216666666667
0.05963232,550.25
0.0395421,550.283333333333
0.01268949,550.316666666667
-0.01393204,550.35
-0.03820897,550.383333333333
-0.05226807,550.416666666667
-0.04239765,550.45
-0.01595692,550.483333333333
0.0153597,550.516666666667
0.04509108,550.55
0.05775031,550.583333333333
0.05150209,550.616666666667
0.02871466,550.65
-0.01350304,550.683333333333
-0.05098404,550.716666666667
-0.06921688,550.75
-0.06937054,550.783333333333
-0.06096899,550.816666666667
-0.03812134,550.85
0.001130496,550.883333333333
0.04781085,550.916666666667
0.08262879,550.95
0.09408797,550.983333333333
0.08710036,551.016666666667
0.053484,551.05
0.01013936,551.083333333333
-0.03391395,551.116666666667
-0.08104497,551.15
-0.1116205,551.183333333333
-0.1091778,551.216666666667
-0.07227646,551.25
-0.01320248,551.283333333333
0.05061986,551.316666666667
